Flight Number,Date,Delay (Minutes),Reason for Delay
PK381,2022-03-04 18:09:43.783783784,27,None
PK982,2022-03-05 11:40:32.432432432,46,Mechanical Issue
PK502,2022-03-06 05:11:21.081081081,48,None
PK208,2022-03-06 22:42:09.729729730,0,Weather
PK799,2022-03-07 16:12:58.378378378,21,Mechanical Issue
PK298,2022-03-08 09:43:47.027027027,110,None
PK402,2022-03-09 03:14:35.675675676,62,Weather
PK426,2022-03-09 20:45:24.324324324,2,None
PK253,2022-03-10 14:16:12.972972973,0,Weather
PK651,2022-03-11 07:47:01.621621622,0,Weather
PK744,2022-03-12 01:17:50.270270270,50,None
PK504,2022-03-12 18:48:38.918918919,76,Weather
PK561,2022-03-13 12:19:27.567567568,40,None
PK231,2022-03-14 05:50:16.216216216,26,None
PK890,2022-03-14 23:21:04.864864865,4,Weather
PK973,2022-03-15 16:51:53.513513513,32,Mechanical Issue
PK183,2022-03-16 10:22:42.162162162,0,Weather
PK498,2022-03-17 03:53:30.810810811,0,Mechanical Issue
PK853,2022-03-17 21:24:19.459459459,77,Weather
PK727,2022-03-18 14:55:08.108108108,0,Weather
PK208,2022-03-19 08:25:56.756756757,9,Mechanical Issue
PK320,2022-03-20 01:56:45.405405405,43,Mechanical Issue
PK652,2022-03-20 19:27:34.054054054,70,None
PK467,2022-03-21 12:58:22.702702703,29,None
PK246,2022-03-22 06:29:11.351351351,0,Traffic Control
PK211,2022-03-23 00:00:00.000000000,9,Mechanical Issue
PK714,2022-03-23 17:30:48.648648649,0,None
PK657,2022-03-24 11:01:37.297297297,19,Weather
PK593,2022-03-25 04:32:25.945945946,63,Traffic Control
PK604,2022-03-25 22:03:14.594594595,0,None
PK574,2022-03-26 15:34:03.243243243,6,Weather
PK935,2022-03-27 09:04:51.891891892,3,Crew
PK989,2022-03-28 02:35:40.540540541,0,None
PK370,2022-03-28 20:06:29.189189189,40,None
PK520,2022-03-29 13:37:17.837837838,0,Traffic Control
PK996,2022-03-30 07:08:06.486486486,0,Weather
PK806,2022-03-31 00:38:55.135135135,50,Weather
PK466,2022-03-31 18:09:43.783783784,73,Weather
PK379,2022-04-01 11:40:32.432432432,17,Traffic Control
PK382,2022-04-02 05:11:21.081081081,0,Weather
PK139,2022-04-02 22:42:09.729729730,0,None
PK288,2022-04-03 16:12:58.378378378,55,Weather
PK263,2022-04-04 09:43:47.027027027,24,Weather
PK635,2022-04-05 03:14:35.675675676,16,Mechanical Issue
PK635,2022-04-05 20:45:24.324324324,31,Traffic Control
PK103,2022-04-06 14:16:12.972972973,19,Weather
PK934,2022-04-07 07:47:01.621621622,74,Mechanical Issue
PK389,2022-04-08 01:17:50.270270270,0,Mechanical Issue
PK532,2022-04-08 18:48:38.918918919,0,Weather
PK570,2022-04-09 12:19:27.567567568,0,Weather
PK280,2022-04-10 05:50:16.216216216,1,None
PK347,2022-04-10 23:21:04.864864865,0,Mechanical Issue
PK727,2022-04-11 16:51:53.513513513,28,Weather
PK378,2022-04-12 10:22:42.162162162,21,None
PK976,2022-04-13 03:53:30.810810811,0,None
PK680,2022-04-13 21:24:19.459459459,41,Crew
PK962,2022-04-14 14:55:08.108108108,73,Mechanical Issue
PK353,2022-04-15 08:25:56.756756756,33,None
PK280,2022-04-16 01:56:45.405405406,0,None
PK929,2022-04-16 19:27:34.054054054,90,Traffic Control
PK780,2022-04-17 12:58:22.702702702,46,Mechanical Issue
PK924,2022-04-18 06:29:11.351351352,88,Mechanical Issue
PK608,2022-04-19 00:00:00.000000000,58,Traffic Control
PK860,2022-04-19 17:30:48.648648648,65,Weather
PK799,2022-04-20 11:01:37.297297298,27,Mechanical Issue
PK665,2022-04-21 04:32:25.945945946,11,None
PK425,2022-04-21 22:03:14.594594594,33,Crew
PK456,2022-04-22 15:34:03.243243244,0,Mechanical Issue
PK924,2022-04-23 09:04:51.891891892,35,Crew
PK749,2022-04-24 02:35:40.540540540,0,Weather
PK779,2022-04-24 20:06:29.189189190,22,Mechanical Issue
PK490,2022-04-25 13:37:17.837837838,67,Traffic Control
PK714,2022-04-26 07:08:06.486486486,23,Weather
PK184,2022-04-27 00:38:55.135135136,80,Weather
PK416,2022-04-27 18:09:43.783783784,11,None
PK311,2022-04-28 11:40:32.432432432,55,Weather
PK614,2022-04-29 05:11:21.081081082,0,Weather
PK483,2022-04-29 22:42:09.729729730,54,None
PK790,2022-04-30 16:12:58.378378378,28,Traffic Control
PK441,2022-05-01 09:43:47.027027026,12,Crew
PK914,2022-05-02 03:14:35.675675676,0,None
PK943,2022-05-02 20:45:24.324324324,11,Weather
PK137,2022-05-03 14:16:12.972972972,27,Traffic Control
PK610,2022-05-04 07:47:01.621621622,49,Mechanical Issue
PK519,2022-05-05 01:17:50.270270270,75,None
PK850,2022-05-05 18:48:38.918918918,91,Mechanical Issue
PK268,2022-05-06 12:19:27.567567568,64,Crew
PK442,2022-05-07 05:50:16.216216216,0,Mechanical Issue
PK925,2022-05-07 23:21:04.864864864,9,Mechanical Issue
PK405,2022-05-08 16:51:53.513513514,46,Traffic Control
PK641,2022-05-09 10:22:42.162162162,38,Crew
PK801,2022-05-10 03:53:30.810810810,77,Crew
PK968,2022-05-10 21:24:19.459459460,107,Mechanical Issue
PK636,2022-05-11 14:55:08.108108108,99,Mechanical Issue
PK211,2022-05-12 08:25:56.756756756,72,Traffic Control
PK510,2022-05-13 01:56:45.405405406,38,None
PK305,2022-05-13 19:27:34.054054054,67,Crew
PK284,2022-05-14 12:58:22.702702702,78,None
PK481,2022-05-15 06:29:11.351351352,15,None
PK595,2022-05-16 00:00:00.000000000,1,Mechanical Issue
PK478,2022-05-16 17:30:48.648648648,0,Crew
PK146,2022-05-17 11:01:37.297297298,0,None
PK985,2022-05-18 04:32:25.945945946,0,Crew
PK839,2022-05-18 22:03:14.594594594,29,None
PK650,2022-05-19 15:34:03.243243244,0,Crew
PK627,2022-05-20 09:04:51.891891892,0,Mechanical Issue
PK603,2022-05-21 02:35:40.540540540,45,Weather
PK121,2022-05-21 20:06:29.189189190,26,Mechanical Issue
PK312,2022-05-22 13:37:17.837837838,35,None
PK409,2022-05-23 07:08:06.486486486,68,Crew
PK760,2022-05-24 00:38:55.135135136,50,Mechanical Issue
PK852,2022-05-24 18:09:43.783783784,73,None
PK371,2022-05-25 11:40:32.432432432,23,Mechanical Issue
PK670,2022-05-26 05:11:21.081081082,76,Mechanical Issue
PK898,2022-05-26 22:42:09.729729730,33,Traffic Control
PK301,2022-05-27 16:12:58.378378378,26,Traffic Control
PK131,2022-05-28 09:43:47.027027026,71,Weather
PK542,2022-05-29 03:14:35.675675676,0,Mechanical Issue
PK261,2022-05-29 20:45:24.324324324,91,Mechanical Issue
PK866,2022-05-30 14:16:12.972972972,10,Mechanical Issue
PK353,2022-05-31 07:47:01.621621622,0,Mechanical Issue
PK620,2022-06-01 01:17:50.270270270,43,Mechanical Issue
PK750,2022-06-01 18:48:38.918918918,7,Weather
PK579,2022-06-02 12:19:27.567567568,91,Mechanical Issue
PK109,2022-06-03 05:50:16.216216216,5,Weather
PK825,2022-06-03 23:21:04.864864864,31,Mechanical Issue
PK604,2022-06-04 16:51:53.513513514,0,None
PK884,2022-06-05 10:22:42.162162162,48,Traffic Control
PK935,2022-06-06 03:53:30.810810810,0,Mechanical Issue
PK659,2022-06-06 21:24:19.459459460,44,Weather
PK535,2022-06-07 14:55:08.108108108,5,Weather
PK210,2022-06-08 08:25:56.756756756,0,Mechanical Issue
PK252,2022-06-09 01:56:45.405405406,25,Weather
PK734,2022-06-09 19:27:34.054054054,23,Mechanical Issue
PK968,2022-06-10 12:58:22.702702702,51,Weather
PK201,2022-06-11 06:29:11.351351352,74,None
PK852,2022-06-12 00:00:00.000000000,87,Mechanical Issue
PK932,2022-06-12 17:30:48.648648648,50,Weather
PK290,2022-06-13 11:01:37.297297298,30,None
PK828,2022-06-14 04:32:25.945945946,0,Weather
PK662,2022-06-14 22:03:14.594594594,27,Weather
PK903,2022-06-15 15:34:03.243243244,28,Mechanical Issue
PK180,2022-06-16 09:04:51.891891892,13,Mechanical Issue
PK588,2022-06-17 02:35:40.540540540,42,Traffic Control
PK994,2022-06-17 20:06:29.189189190,59,Weather
PK187,2022-06-18 13:37:17.837837838,0,Mechanical Issue
PK293,2022-06-19 07:08:06.486486486,0,Weather
PK203,2022-06-20 00:38:55.135135136,15,Weather
PK882,2022-06-20 18:09:43.783783784,0,None
PK195,2022-06-21 11:40:32.432432432,0,Traffic Control
PK522,2022-06-22 05:11:21.081081082,0,Weather
PK990,2022-06-22 22:42:09.729729730,0,Mechanical Issue
PK297,2022-06-23 16:12:58.378378378,62,Weather
PK100,2022-06-24 09:43:47.027027026,80,None
PK506,2022-06-25 03:14:35.675675676,0,Weather
PK477,2022-06-25 20:45:24.324324324,39,Weather
PK266,2022-06-26 14:16:12.972972972,51,Mechanical Issue
PK608,2022-06-27 07:47:01.621621622,0,Mechanical Issue
PK737,2022-06-28 01:17:50.270270270,26,Mechanical Issue
PK412,2022-06-28 18:48:38.918918918,109,Weather
PK692,2022-06-29 12:19:27.567567568,44,Weather
PK517,2022-06-30 05:50:16.216216216,11,Mechanical Issue
PK862,2022-06-30 23:21:04.864864864,0,Weather
PK780,2022-07-01 16:51:53.513513514,0,None
PK576,2022-07-02 10:22:42.162162162,36,Weather
PK172,2022-07-03 03:53:30.810810810,88,Mechanical Issue
PK240,2022-07-03 21:24:19.459459460,0,Crew
PK681,2022-07-04 14:55:08.108108108,0,Weather
PK361,2022-07-05 08:25:56.756756756,0,Crew
PK439,2022-07-06 01:56:45.405405406,51,None
PK407,2022-07-06 19:27:34.054054054,5,Weather
PK344,2022-07-07 12:58:22.702702702,0,None
PK614,2022-07-08 06:29:11.351351352,21,Mechanical Issue
PK436,2022-07-09 00:00:00.000000000,28,Weather
PK674,2022-07-09 17:30:48.648648648,0,Mechanical Issue
PK660,2022-07-10 11:01:37.297297298,12,Weather
PK175,2022-07-11 04:32:25.945945946,3,Traffic Control
PK979,2022-07-11 22:03:14.594594594,0,Traffic Control
PK274,2022-07-12 15:34:03.243243244,0,None
PK208,2022-07-13 09:04:51.891891892,53,None
PK282,2022-07-14 02:35:40.540540540,0,Traffic Control
PK291,2022-07-14 20:06:29.189189190,0,Crew
PK164,2022-07-15 13:37:17.837837838,29,Weather
PK948,2022-07-16 07:08:06.486486486,45,Mechanical Issue
PK573,2022-07-17 00:38:55.135135136,0,Weather
PK882,2022-07-17 18:09:43.783783784,0,Traffic Control
PK199,2022-07-18 11:40:32.432432432,0,Mechanical Issue
PK643,2022-07-19 05:11:21.081081082,8,Weather
PK963,2022-07-19 22:42:09.729729730,59,Weather
PK227,2022-07-20 16:12:58.378378378,16,Mechanical Issue
PK551,2022-07-21 09:43:47.027027026,49,Mechanical Issue
PK468,2022-07-22 03:14:35.675675676,0,Mechanical Issue
PK950,2022-07-22 20:45:24.324324324,7,Crew
PK142,2022-07-23 14:16:12.972972972,53,Mechanical Issue
PK983,2022-07-24 07:47:01.621621622,0,Crew
PK518,2022-07-25 01:17:50.270270270,55,Weather
PK587,2022-07-25 18:48:38.918918918,0,Weather
PK177,2022-07-26 12:19:27.567567568,9,Mechanical Issue
PK925,2022-07-27 05:50:16.216216216,78,Mechanical Issue
PK900,2022-07-27 23:21:04.864864864,5,Weather
PK369,2022-07-28 16:51:53.513513512,25,Mechanical Issue
PK773,2022-07-29 10:22:42.162162164,42,Weather
PK800,2022-07-30 03:53:30.810810812,28,Mechanical Issue
PK858,2022-07-30 21:24:19.459459460,29,Mechanical Issue
PK999,2022-07-31 14:55:08.108108108,18,Crew
PK827,2022-08-01 08:25:56.756756756,0,None
PK414,2022-08-02 01:56:45.405405404,32,Weather
PK950,2022-08-02 19:27:34.054054052,0,None
PK988,2022-08-03 12:58:22.702702704,47,Mechanical Issue
PK267,2022-08-04 06:29:11.351351352,68,Crew
PK438,2022-08-05 00:00:00.000000000,0,Crew
PK292,2022-08-05 17:30:48.648648648,68,Crew
PK552,2022-08-06 11:01:37.297297296,6,Mechanical Issue
PK382,2022-08-07 04:32:25.945945944,15,Mechanical Issue
PK435,2022-08-07 22:03:14.594594596,0,Weather
PK489,2022-08-08 15:34:03.243243244,27,Weather
PK624,2022-08-09 09:04:51.891891892,22,Mechanical Issue
PK339,2022-08-10 02:35:40.540540540,58,Weather
PK931,2022-08-10 20:06:29.189189188,0,Mechanical Issue
PK582,2022-08-11 13:37:17.837837836,78,Weather
PK758,2022-08-12 07:08:06.486486488,43,Traffic Control
PK815,2022-08-13 00:38:55.135135136,23,None
PK691,2022-08-13 18:09:43.783783784,14,None
PK990,2022-08-14 11:40:32.432432432,9,Mechanical Issue
PK654,2022-08-15 05:11:21.081081080,12,Traffic Control
PK557,2022-08-15 22:42:09.729729728,26,None
PK188,2022-08-16 16:12:58.378378380,13,Mechanical Issue
PK759,2022-08-17 09:43:47.027027028,0,Weather
PK194,2022-08-18 03:14:35.675675676,26,None
PK551,2022-08-18 20:45:24.324324324,0,Mechanical Issue
PK527,2022-08-19 14:16:12.972972972,31,Mechanical Issue
PK250,2022-08-20 07:47:01.621621620,12,Weather
PK613,2022-08-21 01:17:50.270270272,44,Weather
PK475,2022-08-21 18:48:38.918918920,55,None
PK121,2022-08-22 12:19:27.567567568,55,Crew
PK982,2022-08-23 05:50:16.216216216,31,Weather
PK412,2022-08-23 23:21:04.864864864,35,Weather
PK939,2022-08-24 16:51:53.513513512,9,Mechanical Issue
PK618,2022-08-25 10:22:42.162162164,44,Mechanical Issue
PK305,2022-08-26 03:53:30.810810812,48,Weather
PK474,2022-08-26 21:24:19.459459460,0,None
PK550,2022-08-27 14:55:08.108108108,33,Weather
PK725,2022-08-28 08:25:56.756756756,68,Mechanical Issue
PK883,2022-08-29 01:56:45.405405404,8,Crew
PK694,2022-08-29 19:27:34.054054052,0,Weather
PK278,2022-08-30 12:58:22.702702704,5,None
PK309,2022-08-31 06:29:11.351351352,0,Traffic Control
PK599,2022-09-01 00:00:00.000000000,24,Traffic Control
PK563,2022-09-01 17:30:48.648648648,21,Weather
PK939,2022-09-02 11:01:37.297297296,27,Weather
PK223,2022-09-03 04:32:25.945945944,35,Weather
PK212,2022-09-03 22:03:14.594594596,0,Mechanical Issue
PK111,2022-09-04 15:34:03.243243244,30,Traffic Control
PK225,2022-09-05 09:04:51.891891892,36,None
PK664,2022-09-06 02:35:40.540540540,3,Traffic Control
PK430,2022-09-06 20:06:29.189189188,35,None
PK382,2022-09-07 13:37:17.837837836,23,Traffic Control
PK239,2022-09-08 07:08:06.486486488,0,Weather
PK500,2022-09-09 00:38:55.135135136,30,Weather
PK196,2022-09-09 18:09:43.783783784,10,Crew
PK616,2022-09-10 11:40:32.432432432,44,Weather
PK668,2022-09-11 05:11:21.081081080,12,Weather
PK945,2022-09-11 22:42:09.729729728,0,Mechanical Issue
PK168,2022-09-12 16:12:58.378378380,29,None
PK217,2022-09-13 09:43:47.027027028,28,Weather
PK987,2022-09-14 03:14:35.675675676,0,Traffic Control
PK158,2022-09-14 20:45:24.324324324,46,None
PK132,2022-09-15 14:16:12.972972972,44,Mechanical Issue
PK417,2022-09-16 07:47:01.621621620,0,Weather
PK149,2022-09-17 01:17:50.270270272,0,Weather
PK979,2022-09-17 18:48:38.918918920,15,Traffic Control
PK588,2022-09-18 12:19:27.567567568,0,Traffic Control
PK118,2022-09-19 05:50:16.216216216,42,None
PK825,2022-09-19 23:21:04.864864864,25,Mechanical Issue
PK296,2022-09-20 16:51:53.513513512,0,Weather
PK990,2022-09-21 10:22:42.162162164,0,Weather
PK549,2022-09-22 03:53:30.810810812,62,Traffic Control
PK658,2022-09-22 21:24:19.459459460,74,Weather
PK778,2022-09-23 14:55:08.108108108,39,Weather
PK551,2022-09-24 08:25:56.756756756,13,Mechanical Issue
PK388,2022-09-25 01:56:45.405405404,5,Weather
PK240,2022-09-25 19:27:34.054054052,39,Weather
PK183,2022-09-26 12:58:22.702702704,23,Mechanical Issue
PK793,2022-09-27 06:29:11.351351352,0,Weather
PK490,2022-09-28 00:00:00.000000000,56,Weather
PK690,2022-09-28 17:30:48.648648648,67,Traffic Control
PK314,2022-09-29 11:01:37.297297296,46,None
PK625,2022-09-30 04:32:25.945945944,0,Weather
PK314,2022-09-30 22:03:14.594594596,0,Traffic Control
PK502,2022-10-01 15:34:03.243243244,0,Mechanical Issue
PK227,2022-10-02 09:04:51.891891892,76,Mechanical Issue
PK921,2022-10-03 02:35:40.540540540,8,None
PK576,2022-10-03 20:06:29.189189188,102,Traffic Control
PK859,2022-10-04 13:37:17.837837836,88,None
PK503,2022-10-05 07:08:06.486486488,0,Weather
PK128,2022-10-06 00:38:55.135135136,0,Weather
PK891,2022-10-06 18:09:43.783783784,36,None
PK437,2022-10-07 11:40:32.432432432,0,Mechanical Issue
PK930,2022-10-08 05:11:21.081081080,5,Weather
PK813,2022-10-08 22:42:09.729729728,1,Traffic Control
PK460,2022-10-09 16:12:58.378378380,85,None
PK668,2022-10-10 09:43:47.027027028,26,None
PK491,2022-10-11 03:14:35.675675676,10,Weather
PK317,2022-10-11 20:45:24.324324324,0,None
PK673,2022-10-12 14:16:12.972972972,51,Weather
PK768,2022-10-13 07:47:01.621621620,3,Weather
PK301,2022-10-14 01:17:50.270270272,18,Crew
PK116,2022-10-14 18:48:38.918918920,0,Weather
PK421,2022-10-15 12:19:27.567567568,0,Weather
PK617,2022-10-16 05:50:16.216216216,0,Crew
PK669,2022-10-16 23:21:04.864864864,2,Weather
PK424,2022-10-17 16:51:53.513513512,11,Weather
PK511,2022-10-18 10:22:42.162162164,12,Weather
PK417,2022-10-19 03:53:30.810810812,17,Mechanical Issue
PK780,2022-10-19 21:24:19.459459460,3,Mechanical Issue
PK181,2022-10-20 14:55:08.108108108,67,Traffic Control
PK573,2022-10-21 08:25:56.756756756,53,Traffic Control
PK567,2022-10-22 01:56:45.405405404,15,Mechanical Issue
PK524,2022-10-22 19:27:34.054054052,29,None
PK830,2022-10-23 12:58:22.702702704,7,Weather
PK788,2022-10-24 06:29:11.351351352,0,Weather
PK303,2022-10-25 00:00:00.000000000,21,None
PK682,2022-10-25 17:30:48.648648648,31,Mechanical Issue
PK486,2022-10-26 11:01:37.297297296,0,None
PK877,2022-10-27 04:32:25.945945944,37,Mechanical Issue
PK197,2022-10-27 22:03:14.594594596,10,Traffic Control
PK444,2022-10-28 15:34:03.243243244,32,Mechanical Issue
PK902,2022-10-29 09:04:51.891891892,11,Mechanical Issue
PK307,2022-10-30 02:35:40.540540540,64,Mechanical Issue
PK613,2022-10-30 20:06:29.189189188,28,Traffic Control
PK735,2022-10-31 13:37:17.837837836,55,Mechanical Issue
PK891,2022-11-01 07:08:06.486486488,58,None
PK685,2022-11-02 00:38:55.135135136,0,Weather
PK265,2022-11-02 18:09:43.783783784,0,Weather
PK121,2022-11-03 11:40:32.432432432,36,Mechanical Issue
PK253,2022-11-04 05:11:21.081081080,7,Crew
PK538,2022-11-04 22:42:09.729729728,12,None
PK394,2022-11-05 16:12:58.378378380,65,Weather
PK318,2022-11-06 09:43:47.027027028,9,Crew
PK768,2022-11-07 03:14:35.675675676,0,Mechanical Issue
PK594,2022-11-07 20:45:24.324324324,0,Crew
PK329,2022-11-08 14:16:12.972972972,96,None
PK119,2022-11-09 07:47:01.621621620,14,Weather
PK652,2022-11-10 01:17:50.270270272,0,Mechanical Issue
PK247,2022-11-10 18:48:38.918918920,0,None
PK207,2022-11-11 12:19:27.567567568,0,None
PK502,2022-11-12 05:50:16.216216216,13,Mechanical Issue
PK695,2022-11-12 23:21:04.864864864,53,Mechanical Issue
PK582,2022-11-13 16:51:53.513513512,50,Weather
PK466,2022-11-14 10:22:42.162162164,20,Mechanical Issue
PK933,2022-11-15 03:53:30.810810812,4,None
PK513,2022-11-15 21:24:19.459459460,32,Crew
PK408,2022-11-16 14:55:08.108108108,0,Weather
PK901,2022-11-17 08:25:56.756756756,89,Weather
PK934,2022-11-18 01:56:45.405405404,43,Weather
PK233,2022-11-18 19:27:34.054054052,50,Weather
PK818,2022-11-19 12:58:22.702702704,0,Weather
PK382,2022-11-20 06:29:11.351351352,65,Mechanical Issue
PK877,2022-11-21 00:00:00.000000000,4,Weather
PK172,2022-11-21 17:30:48.648648648,0,Weather
PK580,2022-11-22 11:01:37.297297296,19,Mechanical Issue
PK451,2022-11-23 04:32:25.945945944,18,Weather
PK659,2022-11-23 22:03:14.594594596,0,Weather
PK425,2022-11-24 15:34:03.243243244,0,Weather
PK844,2022-11-25 09:04:51.891891892,0,Weather
PK542,2022-11-26 02:35:40.540540540,0,Mechanical Issue
PK199,2022-11-26 20:06:29.189189188,6,Weather
PK158,2022-11-27 13:37:17.837837836,0,Traffic Control
PK607,2022-11-28 07:08:06.486486488,0,None
PK357,2022-11-29 00:38:55.135135136,57,Traffic Control
PK512,2022-11-29 18:09:43.783783784,49,Mechanical Issue
PK551,2022-11-30 11:40:32.432432432,0,None
PK164,2022-12-01 05:11:21.081081080,54,Crew
PK694,2022-12-01 22:42:09.729729728,0,Weather
PK253,2022-12-02 16:12:58.378378380,105,Mechanical Issue
PK365,2022-12-03 09:43:47.027027028,66,None
PK920,2022-12-04 03:14:35.675675676,0,Weather
PK178,2022-12-04 20:45:24.324324324,33,Weather
PK414,2022-12-05 14:16:12.972972972,0,Traffic Control
PK761,2022-12-06 07:47:01.621621620,22,None
PK659,2022-12-07 01:17:50.270270272,14,Weather
PK990,2022-12-07 18:48:38.918918920,0,Mechanical Issue
PK347,2022-12-08 12:19:27.567567568,4,Weather
PK889,2022-12-09 05:50:16.216216216,0,Traffic Control
PK967,2022-12-09 23:21:04.864864864,0,Weather
PK709,2022-12-10 16:51:53.513513512,0,Weather
PK513,2022-12-11 10:22:42.162162164,0,None
PK124,2022-12-12 03:53:30.810810812,50,Mechanical Issue
PK383,2022-12-12 21:24:19.459459460,0,Crew
PK548,2022-12-13 14:55:08.108108108,0,Mechanical Issue
PK980,2022-12-14 08:25:56.756756756,49,Weather
PK400,2022-12-15 01:56:45.405405404,33,Crew
PK167,2022-12-15 19:27:34.054054052,48,Weather
PK106,2022-12-16 12:58:22.702702704,52,Mechanical Issue
PK916,2022-12-17 06:29:11.351351352,88,Weather
PK236,2022-12-18 00:00:00.000000000,15,Crew
PK263,2022-12-18 17:30:48.648648648,0,None
PK182,2022-12-19 11:01:37.297297296,29,None
PK996,2022-12-20 04:32:25.945945944,0,Mechanical Issue
PK749,2022-12-20 22:03:14.594594596,0,Weather
PK519,2022-12-21 15:34:03.243243244,23,Mechanical Issue
PK172,2022-12-22 09:04:51.891891892,50,None
PK336,2022-12-23 02:35:40.540540540,0,Weather
PK145,2022-12-23 20:06:29.189189188,65,None
PK717,2022-12-24 13:37:17.837837836,0,Weather
PK899,2022-12-25 07:08:06.486486488,11,None
PK361,2022-12-26 00:38:55.135135136,34,None
PK275,2022-12-26 18:09:43.783783784,6,None
